,wl,flux
798,4218.2,0.028859002255955266
799,4219.1,0.02889212271009762
800,4220.0,0.028882042144298466
801,4220.9,0.028894117780717852
802,4221.8,0.028886524532623487
803,4222.7,0.028919960847242406
804,4223.6,0.028927005444340924
805,4224.5,0.02883337190274697
806,4225.4,0.028797971063715108
807,4226.3,0.028858083352653007
808,4227.2,0.028711171510984807
809,4228.1,0.028720875155511347
810,4229.0,0.028787067061501283
811,4229.9,0.028800869121107745
812,4230.8,0.028747981543279087
813,4231.7,0.028710535521266827
814,4232.6,0.02884747644739964
815,4233.5,0.028800320966194344
816,4234.4,0.028545565778692904
817,4235.3,0.02863106562580638
818,4236.2,0.0288272059749756
819,4237.1,0.028709589415430267
820,4238.0,0.028335321565522566
821,4238.9,0.028646349117009737
822,4239.8,0.028757332187214088
823,4240.7,0.02870035944017818
824,4241.6,0.02861628809310513
825,4242.5,0.028520233934286033
826,4243.4,0.028537635841318753
827,4244.3,0.02872264998769135
828,4245.2,0.02844182526517847
829,4246.1,0.0285050387093713
830,4247.0,0.028378023394414552
831,4247.9,0.028462993628438453
832,4248.8,0.028570805930465182
833,4249.7,0.028531492692655855
834,4250.6,0.028447504483185875
835,4251.5,0.028623781803559654
836,4252.4,0.02831233778784525
837,4253.3,0.028144330802643898
838,4254.2,0.028222514036982668
839,4255.1,0.0282611368701709
840,4256.0,0.028221986289519305
841,4256.9,0.028233923299586093
842,4257.8,0.02831470423345232
843,4258.7,0.028586337825882248
844,4259.6,0.028273254530566286
845,4260.5,0.02820357135815295
846,4261.4,0.028259755098001133
847,4262.3,0.028235394711405785
848,4263.2,0.028031391427627117
849,4264.1,0.02776825905388603
850,4265.0,0.028118725088861714
851,4265.9,0.028190470125805854
852,4266.8,0.02819304998267751
853,4267.7,0.02797359046143251
854,4268.6,0.027691516902224402
855,4269.5,0.027589683583951825
856,4270.4,0.027704100366884515
857,4271.3,0.027626106616841464
858,4272.2,0.027724356410664345
859,4273.1,0.027683112637763147
860,4274.0,0.02746582057213281
861,4274.9,0.02718646349006376
862,4275.8,0.02699457562925932
863,4276.7,0.026956096985377598
864,4277.6,0.02693635457013125
865,4278.5,0.026998863228214702
866,4279.4,0.02686518727464736
867,4280.3,0.026723872674862294
868,4281.2,0.02672669144904639
869,4282.1,0.026795535475435523
870,4283.0,0.026763384853270695
871,4283.9,0.026776976979498043
872,4284.8,0.026703309537243123
873,4285.7,0.02666588291211807
874,4286.6,0.026505861471015964
875,4287.5,0.026284470704636825
876,4288.4,0.026219458735595152
877,4289.3,0.02638552005053899
878,4290.2,0.026370112747766263
879,4291.1,0.026200432413461164
880,4292.0,0.02610467944792331
881,4292.9,0.02605867807972909
882,4293.8,0.02607491358940371
883,4294.7,0.02605202259315186
884,4295.6,0.025949264559859846
885,4296.5,0.025981537264218067
886,4297.4,0.025919255770940907
887,4298.3,0.025827705957651638
888,4299.2,0.025594105725357343
889,4300.1,0.025571755190207608
890,4301.0,0.025556727500749995
891,4301.9,0.025345550941718385
892,4302.8,0.02535272991630982
893,4303.7,0.025149757891439334
894,4304.6,0.025162912526621454
895,4305.5,0.02493002660948324
896,4306.4,0.02495220308926117
897,4307.3,0.024965864565489205
898,4308.2,0.024693172252779436
899,4309.1,0.024525776147561195
900,4310.0,0.024179699952837388
901,4310.9,0.024036962083823433
902,4311.8,0.02371014427067844
903,4312.7,0.023399689202770507
904,4313.6,0.0231271073856833
905,4314.5,0.022824024149193857
906,4315.4,0.022484035841027702
907,4316.3,0.02219426673518246
908,4317.2,0.021674785381407095
909,4318.1,0.021362279463157836
910,4319.0,0.02110001829108796
911,4319.9,0.020858456530249314
912,4320.8,0.020610497674191305
913,4321.7,0.020286639772747448
914,4322.6,0.020058870594816636
915,4323.5,0.019891444009841833
916,4324.4,0.01977353306291527
917,4325.3,0.019583548983328092
918,4326.2,0.019505171299149287
919,4327.1,0.019521060122521056
920,4328.0,0.019343389742736836
921,4328.9,0.019143918461615346
922,4329.8,0.019098024940245154
923,4330.7,0.01925574060736855
924,4331.6,0.019246308937862167
925,4332.5,0.01905665961780678
